Point,Zone,Probe,DAS,Date,depth_5,depth_15,depth_25,depth_35,depth_45,depth_55,depth_65,depth_75,depth_85,Neutron_depth_5,Neutron_depth_15,Neutron_depth_25,Neutron_depth_35,Neutron_depth_45,Neutron_depth_55,Neutron_depth_65,Neutron_depth_75,Neutron_depth_85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,39,22-Jan,51.67239271,53.20595333,51.92984271,54.38369,53.91230458,53.52148417,55.05293938,54.40599,55.40071604,47.22856694,48.63024134,47.46387624,49.70669266,49.27584639,48.91863653,50.31838659,49.72707486,50.63625446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,40,23-Jan,52.50238896,53.46584917,52.00025771,54.39224708,53.92734625,53.53712125,55.05410729,54.38914271,55.38393313,47.98718351,48.86778614,47.52823555,49.71451383,49.28959447,48.93292882,50.31945406,49.71167644,50.62091488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,41,24-Jan,52.78679542,53.78988708,52.39665708,54.63782146,54.02243646,53.61568458,55.11933104,54.42207438,55.35851792,48.24713101,49.16395679,47.89054457,49.93896881,49.37650692,49.00473571,50.37906857,49.74177598,50.59768538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,42,25-Jan,53.11686125,54.11042042,52.75367542,54.860125,54.35369333,53.96819646,55.43958083,54.53281479,55.12451063,48.54881118,49.45692426,48.21685933,50.14215425,49.6792757,49.32693156,50.67177688,49.84299272,50.38380272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,43,26-Jan,53.34319583,54.36777083,52.99320667,54.95938938,54.36701292,53.98774458,55.57808458,54.60759938,55.05000375,48.75568099,49.69214254,48.4357909,50.23288189,49.69144981,49.34479855,50.79836931,49.91134583,50.31570343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,44,27-Jan,53.25320188,54.42741625,53.07048917,54.99417667,54.36381375,54.01039646,55.58076604,54.63350229,55.06189354,48.67342652,49.74665845,48.5064271,50.26467748,49.68852577,49.36550236,50.80082016,49.93502109,50.3265707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,45,28-Jan,53.21381104,54.35145229,53.06107396,55.01674354,54.36932354,54.01363313,55.6012225,54.65941417,55.07672229,48.63742329,49.67722739,48.4978216,50.2853036,49.69356172,49.36846068,50.81951737,49.95870455,50.34012417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,46,29-Jan,53.21013896,54.2958575,53.03700542,54.99968875,54.38781313,54.00669875,55.61279646,54.67957292,55.07775646,48.63406701,49.62641376,48.47582295,50.26971552,49.7104612,49.36212266,50.83009596,49.97712965,50.3410694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,47,30-Jan,53.22514583,54.27091917,52.98071729,54.98401292,54.39155083,54.02457542,55.62319708,54.66421333,55.06534229,48.64778329,49.60362012,48.4243756,50.25538781,49.71387746,49.37846193,50.83960213,49.96309098,50.32972285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,48,31-Jan,53.22286958,54.23199313,52.92076417,54.94475521,54.38994896,54.04507729,55.62235833,54.69282208,55.09534438,48.6457028,49.56804172,48.36957845,50.21950626,49.71241335,49.39720064,50.83883551,49.98923938,50.35714476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
